tipo_de_procedimiento,estado,codigo_sigaf,publicacion,cierre,ultima_actualizacion,alcaldia,detalles_procedimiento
CONTRATACION SIMPLIFICADA,Adjudicado,,12/12/2019,16/12/2019 10:00:00 AM,17/12/2019 04:42:07 PM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Servicios de apoyo a la fabricación (73150000)
alquiler de retroexcavadora cargado al proyecto . PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
CONTRATACION SIMPLIFICADA,Adjudicado,,27/11/2019,02/12/2019 10:00:00 AM,13/03/2020 11:29:03 AM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
construcción de linea de distribución de agua potable para el proyecto PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
CONTRATACION SIMPLIFICADA,Adjudicado,,15/11/2019,19/11/2019 10:00:00 AM,02/12/2019 11:19:51 AM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Adhesivos y selladores (31200000), Instrumentos de medida, observación y ensayo (41110000), Distribución de fluidos y gas (40140000), Ferretería (31160000)
compra de materiales ferreteros para el proyecto PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
CONTRATACION SIMPLIFICADA,Adjudicado,,25/10/2019,29/10/2019 10:00:00 AM,18/11/2019 09:19:55 AM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Servicios de maquinado y procesado (73180000)
servicio a todo costo de reconstrucción de tanque de almacenamiento de agua potable para el proyecto PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
CONTRATACION SIMPLIFICADA,Adjudicado,,18/10/2019,22/10/2019 10:00:00 AM,06/11/2019 02:58:04 PM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Componentes estructurales y formas básicas (30100000)
compra de materiales ferreteros para el proyecto PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
CONTRATACION SIMPLIFICADA,Adjudicado,,17/10/2019,21/10/2019 10:00:00 AM,06/11/2019 03:43:23 PM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Tierra y piedra (11110000)
compra de materiales de construcción para el proyecto PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
CONTRATACION SIMPLIFICADA,Ejecución,,24/05/2019,31/05/2019 10:00:00 AM,03/06/2019 04:30:40 PM,Ocotal (Alcaldía Ocotal) - Unidad de Adquisición OCOTAL,"Servicios inmobiliarios (80130000)
COMPRA DE TERRENO PARA LOTIFICACION BISMARCK MARTÍNEZ"
LICITACION PUBLICA,Ejecución,,17/08/2020,21/09/2020 10:45:00 AM,30/12/2020 05:21:44 PM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"Estructuras y edificios permanentes (95120000)
SERVICIOS DE CONSTRUCCIÓN DE POZO PARA ABASTECIMIENTO DE AGUA POTABLE - LOTIFICACIÓN BISMARCK MARTÍNEZ, VILLA JERUSALÉN"
LICITACION PUBLICA,Ejecución,,25/06/2020,27/07/2020 09:00:00 AM,29/12/2020 02:49:24 PM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"Servicios de construcción general (72130000)
PROGRAMA DE VIVIENDAS SOCIAL BISMARCK MARTÍNEZ COMPONENTE 2: LOTIFICACIÓN (OBRAS HORIZONTALES)"
COMPRA POR COTIZACION MENOR,Ejecución,,10/09/2020,16/09/2020 10:00:00 AM,21/10/2020 11:34:36 AM,Ciudad Sandino (Alcaldía Ciudad Sandino) - Unidad de Adquisiciones Alcaldia Ciudad Sandino,"Materiales de afilado pulido y alisado (31190000), Tierra y piedra (11110000), Ferretería (31160000), Componentes estructurales y formas básicas (30100000), Materiales estructurales (30260000), Hormigón, cemento y yeso (30110000)
Compra de Materiales para el proyecto Construcción de Monumento para Lotificación Programa Bismarck Martínez"
LICITACION POR REGISTRO,Adjudicado,,04/11/2020,13/11/2020 03:00:00 PM,11/12/2020 09:00:41 AM,El Crucero (Alcaldía El Crucero) - Unidad de Adquisición EL CRUCERO,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
Se realizara la construcción de 6 casas en el Programa Bismarck Martínez en la Lotificación William Morales Rodríguez"
COMPRA POR COTIZACION MENOR,Adjudicado,,05/08/2020,11/08/2020 11:00:00 AM,21/08/2020 10:48:41 AM,Ticuantepe (Alcaldía Ticuantepe) - Unidad de Adquisición TICUANTEPE,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
PERFILADO DE CALLES EN LOTIFICACION DEL PROGRAMA BISMARCK MARTÍNEZ"
CONTRATACION SIMPLIFICADA,Adjudicado,,06/03/2020,10/03/2020 10:00:00 AM,22/04/2020 09:55:17 AM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
Construcción de pozos de visitas para red colectora principal de alcantarillado santiario para el PROYECTO PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
