procedimiento,fecha_procedimiento,estado,codigo_sigaf,fecha_publicación,fecha_cierre,ultima_actualización,alcaldía,concepto,descripción
LICITACION PUBLICA,10/2024,Vigente,07/05/2024,06/06/2024 07:00:00 AM,07/05/2024 10:25:01 AM,Alcaldía Villanueva (Alcaldía Villanueva),Oficina de Adquisiciones Municipales,Servicios de construcción de edificaciones residenciales (72110000),CONSTRUCCION DE 16 VIVIENDAS PROYECTO BISMARCK MARTINEZ
LICITACION PUBLICA,5/2024,Vigente,29/04/2024,29/05/2024 03:00:00 PM,29/04/2024 11:12:57 AM,Alcaldía Chichigalpa (Alcaldía Chichigalpa),UA Chichigalpa,Estructuras y edificios permanentes (95120000),"PROYECTO CONSTRUCCION DE VIVIENDAS, PROGRAMA BISMARCK MARTINEZ II ETAPA"
CONTRATACION SIMPLIFICADA,4/2024,Ejecución,12/04/2024,15/04/2024 10:00:00 AM,02/05/2024 09:05:57 AM,Alcaldía Yalagüina (Alcaldía Yalagüina),Unidad de Adquisiciones Yalagüina,Parcelas de tierra (95100000),Adquisición de Terreno para acceso a Lotificacion Bismarck Martinez
CONTRATACION SIMPLIFICADA,33/2024,Ejecución,23/02/2024,26/02/2024 11:30:00 AM,05/03/2024 03:46:10 PM,Alcaldía San Ramón (Alcaldía San Ramón),Unidad de Adquisición SAN RAMON,"Servicios inmobiliarios (80130000), Parcelas de tierra (95100000)",ADQUISICION DE TERRENO PARA LOTIFICACION PROGRAMA NACIONAL BISMARCK MARTINEZ
CONTRATACION SIMPLIFICADA,3/2024,Ejecución,01/02/2024,09/02/2024 10:30:00 AM,16/02/2024 02:07:07 PM,Alcaldía Chichigalpa (Alcaldía Chichigalpa),UA Chichigalpa,Parcelas de tierra (95100000),"PROYECTO COMPRA DE TERRENO PARA BIEN SOCIAL, PROGRAMA BISMARCK MARTINEZ III ETAPA."
LICITACION PUBLICA,10/2024,Vigente,,,06/06/2024 07:00:00 AM,,Alcaldía Villanueva (Alcaldía Villanueva),Servicios de construcción de edificaciones residenciales (72110000),CONSTRUCCION DE 16 VIVIENDAS PROYECTO BISMARCK MARTINEZ
LICITACION PUBLICA,5/2024,Vigente,,,29/05/2024 03:00:00 PM,,Alcaldía Chichigalpa (Alcaldía Chichigalpa),Estructuras y edificios permanentes (95120000),"PROYECTO CONSTRUCCION DE VIVIENDAS, PROGRAMA BISMARCK MARTINEZ II ETAPA"
CONTRATACION SIMPLIFICADA,4/2024,Ejecución,,,15/04/2024 10:00:00 AM,,Alcaldía Yalagüina (Alcaldía Yalagüina),Parcelas de tierra (95100000),Adquisición de Terreno para acceso a Lotificacion Bismarck Martinez
CONTRATACION SIMPLIFICADA,33/2024,Ejecución,,,26/02/2024 11:30:00 AM,,Alcaldía San Ramón (Alcaldía San Ramón),"Servicios inmobiliarios (80130000), Parcelas de tierra (95100000)",ADQUISICION DE TERRENO PARA LOTIFICACION PROGRAMA NACIONAL BISMARCK MARTINEZ
CONTRATACION SIMPLIFICADA,3/2024,Ejecución,,,09/02/2024 10:30:00 AM,,Alcaldía Chichigalpa (Alcaldía Chichigalpa),Parcelas de tierra (95100000),"PROYECTO COMPRA DE TERRENO PARA BIEN SOCIAL, PROGRAMA BISMARCK MARTINEZ III ETAPA."
LICITACION PUBLICA,90/2023,Ejecución,,,05/04/2023 09:00:00 AM,,Alcaldía Managua (Alcaldía Managua),CONSTRUCCIONES EN PROCESO (95900000),PROGRAMA DE VIVIENDAS SOCIAL BISMARCK MARTINEZ FASE 1 DEL PROYECTO DE ASISTENCIA DE CONTRUCCION DE VIVIENDA DE INTERES SOCIAL PARA LA REPUBLICA DE NICARAGUA (COMPONENTE OBRAS DE DESCAPOTE Y DESALOJO)
LICITACION PUBLICA,49/2023,Ejecución,,,08/03/2023 11:00:00 AM,,Alcaldía Managua (Alcaldía Managua),Estructuras y edificios permanentes (95120000),"PROGRAMA BISMARCK MARTINEZ, VIVIENDA SOCIAL “URBANIZACION VILLA JERUSALEN III ETAPA, II FASE”"
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
,,Ejecución,#,,,,,,
